"Class","RelPath","InBase","InRec","InCur","RecCorrupt","IsText","RecSize"
"CORRUPT_TRACKED","Clients\Viking\NGVV\CVS\Template","True","True","True","True","False","0"
"CORRUPT_TRACKED","Clients\Viking\NGVV\Global.cs","True","True","True","True","True","4878"
"CORRUPT_TRACKED","Clients\Viking\NGVV\Objects\GenericTreeNode.cs","True","True","True","True","True","8091"
"CORRUPT_TRACKED","Clients\Viking\NGVV\Properties\app.manifest","True","True","True","True","False","0"
"CORRUPT_TRACKED","Clients\Viking\NGVV\Properties\CVS\Template","True","True","True","True","False","0"
"CORRUPT_TRACKED","Clients\Viking\NGVV\Properties\Resources.Designer.cs","True","True","True","True","True","5149"
"CORRUPT_TRACKED","Clients\Viking\NGVV\Properties\Resources.resx","True","True","True","True","True","7435"
"CORRUPT_TRACKED","Clients\Viking\NGVV\PropertyPages\SectionGeneralPage.cs","True","True","True","True","True","3937"
"CORRUPT_TRACKED","Clients\Viking\NGVV\TextureCache.cs","True","True","True","True","True","10588"
"CORRUPT_TRACKED","Clients\Viking\NGVV\Threading\TextureRequestQueue.cs","True","True","True","True","True","5092"
"CORRUPT_TRACKED","Clients\Viking\NGVV\UI\BackgroundThreadProgressReporter.cs","True","True","True","True","True","613"
"CORRUPT_TRACKED","Clients\Viking\NGVV\UI\Extensions.cs","True","True","True","True","True","1901"
"CORRUPT_TRACKED","Clients\Viking\NGVV\UI\Forms\FrameCapturesForm.resx","True","True","True","True","True","471220"
"CORRUPT_TRACKED","Clients\Viking\NGVV\UI\Forms\GenericProgressForm.resx","True","True","True","True","True","470106"
"CORRUPT_TRACKED","Clients\Viking\NGVV\UI\Forms\GoToLocationForm.resx","True","True","True","True","True","470106"
"CORRUPT_TRACKED","Clients\Viking\NGVV\UI\Forms\LoadingVolumeForm.resx","True","True","True","True","True","470310"
"CORRUPT_TRACKED","Clients\Viking\NGVV\UI\Forms\Logon.cs","True","True","True","True","True","34129"
"CORRUPT_TRACKED","Clients\Viking\NGVV\UI\Forms\PropertySheetForm.Designer.cs","True","True","True","True","True","8266"
"CORRUPT_TRACKED","Clients\Viking\NGVV\UI\Forms\VikingForm.resx","True","True","True","True","True","470106"
"CORRUPT_TRACKED","Clients\Viking\NGVV\UI\Forms\VikingMain.resx","True","True","True","True","True","470511"
"CORRUPT_TRACKED","Clients\Viking\NGVV\UI\GestureSupport.cs","True","True","True","True","True","6465"
"CORRUPT_TRACKED","Clients\Viking\NGVV\UI\State.cs","True","True","True","True","True","6677"
"CORRUPT_TRACKED","Clients\Viking\NGVV\Util\BmpWriter.cs","True","True","True","True","True","3885"
"CORRUPT_TRACKED","Clients\Viking\NGVV\Util\Defaults.cs","True","True","True","True","True","2106"
"CORRUPT_TRACKED","Clients\Viking\NGVV\ViewModels\VolumeViewModel.cs","True","True","True","True","True","5517"
"CORRUPT_TRACKED","Clients\Viking\VikingXNAWinForms\ViewerControl.cs","True","True","True","True","True","19836"
"CORRUPT_TRACKED","Clients\Viking\WebAnnotation\Interfaces\CanvasInterfaces.cs","True","True","True","True","True","7047"
"CORRUPT_TRACKED","Clients\Viking\WebAnnotation\Objects\WCFObjBase.cs","True","True","True","True","True","2347"
"CORRUPT_TRACKED","Clients\Viking\WebAnnotation\UI\Commands\ToggleTagCommand.cs","True","True","True","True","True","2329"
"CORRUPT_TRACKED","Clients\Viking\WebAnnotation\UI\Commands\TranslateSmoothedPolygonCommand.cs","True","True","True","True","True","5542"
"CORRUPT_TRACKED","Clients\Viking\WebAnnotation\UI\FindStructureNumberForm.Designer.cs","True","True","True","True","True","4533"
"CORRUPT_TRACKED","Clients\Viking\WebAnnotation\UI\FindStructureNumberForm.resx","True","True","True","True","True","470106"
"CORRUPT_TRACKED","Clients\Viking\WebAnnotation\UI\StructureBaseGeneralPage.cs","True","True","True","True","True","1453"
"CORRUPT_TRACKED","Clients\Viking\WebAnnotation\UI\StructureChildStructuresPage.cs","True","True","True","True","True","1731"
"CORRUPT_TRACKED","Clients\Viking\WebAnnotation\UI\StructureGeneralPage.resx","True","True","True","True","True","6018"
"CORRUPT_TRACKED","Clients\Viking\WebAnnotation\UI\StructureLocationsChangeLogPropertiesPage.resx","True","True","True","True","True","5817"
"CORRUPT_TRACKED","Clients\Viking\WebAnnotation\UI\StructureTypesRelationsPage.resx","True","True","True","True","True","5814"
"CORRUPT_TRACKED","Clients\Viking\WebAnnotation\UI\StructureTypesTree.resx","True","True","True","True","True","5814"
"CORRUPT_TRACKED","Clients\Viking\WebAnnotation\View\LocationPolygonView.cs","True","True","True","True","True","23346"
"CORRUPT_TRACKED","Clients\Viking\WebAnnotation\View\OverlappedLinkCircleView.cs","True","True","True","True","True","9972"
"CORRUPT_TRACKED","Clients\Viking\WebAnnotation\ViewModel\Location_CanvasViewModel.cs","True","True","True","True","True","1706"
"CORRUPT_TRACKED","Clients\VolumeModel\Extensions.cs","True","True","True","True","True","11285"
"CORRUPT_TRACKED","Clients\VolumeModel\Global.cs","True","True","True","True","True","1263"
"CORRUPT_TRACKED","Clients\VolumeModel\VertexStructs.cs","True","True","True","True","True","838"
"CORRUPT_TRACKED","Clients\VolumeModel\VikingXMLUtils.cs","True","True","True","True","True","846"
"CORRUPT_TRACKED","Clients\WCFTokenInjector\WCFTokenInjector.csproj","True","True","True","True","True","3937"
"CORRUPT_TRACKED","Clients\WebAnnotationModel.gRPC\StoreBase.cs","True","True","True","True","True","9259"
"CORRUPT_TRACKED","Clients\WebAnnotationModel.gRPC\StoreBaseWithKey.cs","True","True","True","True","True","43605"
"CORRUPT_TRACKED","Clients\WebAnnotationModel.WCF\StoreBaseWithIndexKey.cs","True","True","True","True","True","10044"
"CORRUPT_TRACKED","Clients\WebAnnotationModel\ConcurrentObservableAttributeSet.cs","True","True","True","True","True","2711"
"CORRUPT_TRACKED","Clients\WebAnnotationModel\Objects\Attribute.cs","True","True","True","True","True","6404"
"CORRUPT_TRACKED","Clients\WebAnnotationModel\Store\Server\IRegionLoader.cs","True","True","True","True","True","1159"
"CORRUPT_TRACKED","Clients\WebAnnotationViewModels\ViewModels\StructureTypeObjViewModel.cs","True","True","True","True","True","15250"
"CORRUPT_TRACKED","Clients\WebAnnotationWPFControls\Behaviors\DragSelectorBehavior.cs","True","True","True","True","True","2445"
"CORRUPT_TRACKED","Clients\WebAnnotationWPFControls\Forms\GoToActionForm.xaml","True","True","True","True","True","1840"
"CORRUPT_TRACKED","Clients\WebAnnotationWPFControls\Properties\AssemblyInfo.cs","True","True","True","True","True","2389"
"CORRUPT_TRACKED","Clients\WebAnnotationWPFControls\Properties\Resources.Designer.cs","True","True","True","True","True","2863"
"CORRUPT_TRACKED","Clients\WebAnnotationWPFControls\Properties\Resources.resx","True","True","True","True","True","5612"
"CORRUPT_TRACKED","Clients\WebAnnotationWPFControls\SampleData\MockFavoriteStructureTypeIDs.xaml","True","True","True","True","True","1256"
"CORRUPT_TRACKED","Clients\WebAnnotationWPFControls\SampleData\StructureTypes.json","True","True","True","True","True","23666"
"CORRUPT_TRACKED","ColladaIO\collada_schema_1_5_fixed.cs","True","True","True","True","True","523720"
"CORRUPT_TRACKED","Database\CreateUpdateDatabaseTemplate.sql","True","True","True","True","True","98232"
"CORRUPT_TRACKED","Documentation\source\developerdocs\stov\overview.rst","True","True","True","True","True","8472"
"CORRUPT_TRACKED","Documentation\source\export\excel.rst","True","True","True","True","True","0"
"CORRUPT_TRACKED","Geometry\CurveFitting\Lagrange.cs","True","True","True","True","True","5386"
"CORRUPT_TRACKED","Geometry\CVS\Template","True","True","True","True","False","0"
"CORRUPT_TRACKED","Geometry\Transforms\TransformInfo.cs","True","True","True","True","True","5505"
"CORRUPT_TRACKED","Geometry\Transforms\TransfromFactory.cs","True","True","True","True","True","37900"
"CORRUPT_TRACKED","GeometryTests\GridBox.cs","True","True","True","True","True","7224"
"CORRUPT_TRACKED","GeometryTests\GridPolygonTest.cs","True","True","True","True","True","88306"
"CORRUPT_TRACKED","gRPCAnnotationServiceTypes\Protos\StructureType.Partial.cs","True","True","True","True","True","3669"
"CORRUPT_TRACKED","MeshXNAVizLib\ClassLibrary1\Properties\AssemblyInfo.cs","True","True","True","True","True","1484"
"CORRUPT_TRACKED","Servers\AnnotationDatabase\dbo\Functions\MorphologyPaths.sql","True","True","True","True","True","8908"
"CORRUPT_TRACKED","Servers\AnnotationDatabase\dbo\Stored Procedures\SelectSectionStructuresAndLinks.sql","True","True","True","True","True","876"
"CORRUPT_TRACKED","Servers\AnnotationDatabase\dbo\Stored Procedures\SelectSectionStructuresInMosaicBounds.sql","True","True","True","True","True","921"
"CORRUPT_TRACKED","Servers\AnnotationDatabase\dbo\Stored Procedures\SelectSectionStructuresInVolumeBounds.sql","True","True","True","True","True","921"
"CORRUPT_TRACKED","Servers\AnnotationService\AnnotationService\webText.config","True","True","True","True","True","5652"
"CORRUPT_TRACKED","Servers\ConnectomeDataModelCore\SelectChildrenStructureLinksResult.cs","True","True","True","True","True","649"
"CORRUPT_TRACKED","Servers\ConnectomicsWebsite\App_Start\IdentityConfig.cs","True","True","True","True","True","4455"
"CORRUPT_TRACKED","Servers\ConnectomicsWebsite\Content\bootstrap.css","True","True","True","True","True","127317"
"CORRUPT_TRACKED","Servers\ConnectomicsWebsite\Controllers\AccountController.cs","True","True","True","True","True","17850"
"CORRUPT_TRACKED","Servers\ConnectomicsWebsite\Scripts\_references.js","True","True","True","True","True","396"
"CORRUPT_TRACKED","Servers\DataExport.Tests\DataExport.Tests.csproj","True","True","True","True","True","16767"
"CORRUPT_TRACKED","Servers\DataExport\Content\themes\base\button.css","True","True","True","True","True","2649"
"CORRUPT_TRACKED","Servers\DataExport\Controllers\MorphologyController.cs","True","True","True","True","True","11186"
"CORRUPT_TRACKED","Servers\DataExport\Controllers\NetworkController.cs","True","True","True","True","True","8310"
"CORRUPT_TRACKED","Servers\DataExport\Global.asax.cs","True","True","True","True","True","5615"
